category_name,keywords,description,source_nsqf_level,source_url
Infrastructure & Heavy Equipment,Aerial Work Platform Operator; Backhoe Loader Operator; Batching Plant Operator; Compactor Operator; Concrete Pump Operator; Crawler Crane Operator; Excavator Operator; Hot Mix Plant Operator; Hydra Crane Operator; Junior Backhoe Operator; Junior Excavator Operator; Junior Mechanic (Electrical/ Electronics/ Instrumentation); Junior Mechanic (Engine); Junior Mechanic (Hydraulic); Junior Operator Crane; Junior Paver Operator/Screedman; Junior Tower Crane Operator/Signalman; Mechanic (Electrical/ Electronics/Instrumentation); Mechanic (Engine); Mechanic (Hydraulic); Paver Operator; Skid Steer Loader Operator; Supervisor (Plant & Machinery); Supervisor Maintenance (Infrastructure Equipment); Tower Crane Operator; Transit and Self-Loading Mixer Operator; Tyre Mounted Crane Operator; Wheel Loader Operator,"Crane operation, excavation, earthmoving, and heavy machinery operation.",3-5,https://rplrfp.nsdcindia.org/Downloads/NSDCDocument/Job_Role_List.xlsx
Instrumentation & Automation,Building Automation Specialist; Cabling Technician; DCS Programmer and Troubleshooter; HMI/SCADA Programmer and Troubleshooter; Industrial Automation Specialist; Industrial Automation Technician; Installation and Commissioning Technician (AM/FM Radio Station); Instrumentation Technician (Control Valve); Instrumentation Technician (Process Control); Junior Instrumentation Technician (Process Control); Programmable Logic Controller (PLC) Programmer and Troubleshooter; Testing and Calibration Technician (Electrotechnical); Testing and Calibration Technician (Mechanical-Dimensions),"Industrial automation, PLC programming, instrumentation calibration, and process control.",3-5,https://rplrfp.nsdcindia.org/Downloads/NSDCDocument/Job_Role_List.xlsx
"Iron, Steel & Metals","Assistant -  Packaging & Marking Operation; Assistant - Machinist - Iron And Steel; Assistant Electronic Mechanic; Assistant Mechanic -  Instrumentation; Assistant Rigger - Heavy Material; Asst. Electrician; Asst. Fitter : Levelling, Alignment & Balancing; Asst. Mechanic - Bearing Maintenance; EOT Overhead Crane Operator; Helper -  Utility Hand Plant Operations; House Keeper - Mechanised Equipments; Mechanic - Belt Conveyor; Mechanic: Hydraulic & Pneumatic System; Operator - Mobile Equipment; Operator - Plasma Cutter; Welder (GTAW)","Steel production, metal casting, forging, rolling, and metallurgical operations.",2-4,https://rplrfp.nsdcindia.org/Downloads/NSDCDocument/Job_Role_List.xlsx
Leather & Footwear,Cutter - Goods and Garments; Cutter- Footwear; Helper - Footwear Upper Making; Lasting Operator - Footwear; Pre- Assembly Operator; Quality Control Inspector - Footwear; Sample Maker - Footwear; Skiving Operator; Stitching Operator - Footwear; Stitching Operator - Goods and Garments,"Leather tanning, footwear manufacturing, stitching, and leather goods production.",2-4,https://rplrfp.nsdcindia.org/Downloads/NSDCDocument/Job_Role_List.xlsx
Logistics & Warehousing,Clearance Support Agent; Consignment Booking Assistant; Consignment Tracking Executive; Courier Delivery Executive; Data Feeder – Warehouse; Documentation Executive; Goods Packaging Machine Operator; Inventory Clerk; Key Consignor Executive; Loader/ Unloader; Loading Supervisor; Material Handling Equipment (MHE) Maintenance Technician; Receiving Assistant; Shipment Classification Agent; Transport Consolidator; Transport Coordinator; Warehouse Binner; Warehouse Claims Coordinator; Warehouse Packer; Warehouse Picker; Warehouse Quality Checker; Warehouse Supervisor,"Warehouse management, freight handling, courier services, and supply chain operations.",2-5,https://rplrfp.nsdcindia.org/Downloads/NSDCDocument/Job_Role_List.xlsx
Manufacturing & Welding,Assistant Manual Metal Arc Welding/ Shielded Metal Arc Welding Welder; CNC Operator - Turning; CNC Operator Vertical Machining Center; CNC Programmer; Draughtsman - Mechanical; Fitter - Fabrication; Fitter – Electrical and Electronic Assembly; Fitter – Mechanical Assembly; Manual Metal Arc Welding/Shielded Metal Arc Welding Welder; Metal Inert Gas / Metal Active Gas /Gas Metal Arc Welder (MIG/MAG/GMAW); Production Engineer; Stainless Steel Fabricator; Technician Instrumentation,"CNC machining, welding, fabrication, mechanical assembly, and industrial drafting.",2-5,https://rplrfp.nsdcindia.org/Downloads/NSDCDocument/Job_Role_List.xlsx
Media & Entertainment,Actor; Animator; Assistant Cameraman; Character designer; Community Journalist; Compositor; Dancer; Drawing & Painting Artist; Editor; Graphic Designer; Hairdresser; Make-Up Artist; Production Assistant; Roto Artist; Sales Executive (Media Org); Script Researcher; Sculpt Artist; Search Engine Marketing Executive; Search Engine Optimization Executive; Social Media Executive; Social Media Influencer; Sound Editor; Still Photographer (Digital); Storyboard Artist; Voice-Over Artist,"Film production, animation, sound engineering, camera operation, and content creation.",3-4,https://rplrfp.nsdcindia.org/Downloads/NSDCDocument/Job_Role_List.xlsx
Mining & Geology,Assistant-Mine Surveyor; Bulldozer Operator; Compressor Operator; Dumper/Tipper Operator; HEMM Mechanic; Jack Hammer Operator; Jumbo Drill Operator; Loader Operator (Mining); Loader Operator-Underground; Mine Electrician; Mine Mechanic/Fitter; Mine Shotfirer/Blaster; Mine Welder; Mineral Processing Operator; Mining Mate/Sirdar; Pump Operator-Mining; Rig-Mounted Drill Operator; Winding Operator (Mining SSC); Wire Saw Operator,"Mining operations, drilling, blasting, surveying, and mineral extraction.",4-5,https://rplrfp.nsdcindia.org/Downloads/NSDCDocument/Job_Role_List.xlsx
Office & Business Support,Business Correspondent/Facilitator; CCTV Supervisor; CCTV Video Footage Auditor; Career and Education Counsellor; Credit Processing Officer; Debt Recovery Agent; Field Survey Enumerator; Hindi Typist; Insurance Agent; Microfinace Executive; Office Assistant; Office Operations Executive; Receptionist; Secretary; Security Guard; Security Supervisor,"Office administration, reception, data management, security, and financial services.",3-5,https://rplrfp.nsdcindia.org/Downloads/NSDCDocument/Job_Role_List.xlsx
"Oil, Gas & Energy","Assistant Electricity Meter Reader Billing & Cash Collector; Assistant Technician-Street Light Installation and Maintenance; Attendant Sub-Station (66/11, 33/11 KV) - Power Distribution; Consumer Energy Meter Technician; Disrtibution Network Helper; Electrician - Domestic Solutions; Excavator- Pipeline; Fire Safety Technician (Oil & Gas); Gas Meter Reader; Industrial Electrician (Oil & Gas); Industrial Welder (Oil & Gas); Junior Engineer - Power Distribution; LPG Delivery Personnel; LPG Mechanic; Line Patrolling Man (Oil & Gas); Lineman Distribution Technician; Pipe Fitter (Power Plant); Pipe Fitter – Oil & Gas/City Gas Distribution; Project Supervisor - City Gas Distribution (CGD); Retail Outlet Attendant (Oil & Gas); Store Keeper (Petroleum Products); Tank Lorry Driver-Petroleum Products","Oil drilling, refinery operations, power generation, solar installation, and gas distribution.",2-5,https://rplrfp.nsdcindia.org/Downloads/NSDCDocument/Job_Role_List.xlsx
"Retail, Sports & General Services",Agri-residue Aggregator; Airline Baggage Handler; Airline Cargo Assistant; Airline Customer Service Executive; Animal Waste Manure Aggregator; Assistant Carpenter; Assistant Draughtsperson (Interior Design); Assistant Interior Designer; Assistant Plumber - General; Biomass Depot Operator; Carpenter; Customer care Executive Non Voice (Divyangjan)-LD; Data Entry Operator (Divyangjan)-LD; Desludging Operator; Distributor Salesman; Draughtsperson (Interior Design); Faecal Sludge Treatment Plant O&M Technician; Fitness Trainer; General Assistant-Furniture and Fittings Installation; Individual Sales Professional; Jal Mitra; LED light repair Technician (Divyangjan)-LD; Lifeguard Pool; Physical Education Assistant (Primary Years); Plumber - General; Retail Cashier; Retail Merchandiser (Divyangjan)-LD; Retail Sales Associate; Retail Trainee Associate; Safai Karmachari; Seller Activation Executive; Sports Masseur; Water Pump Operator,"Retail sales, fitness training, plumbing, furniture making, waste management, and general services.",2-4,https://rplrfp.nsdcindia.org/Downloads/NSDCDocument/Job_Role_List.xlsx
"Rubber, Chemicals & Plastics",Assembling & Curing Operator-Footwear & Sports Good; Assistant Machine Operator - Injection Moulding Plastic; Assistant Machine Operator - Stretch Blow Moulding Plastic; Assistant Operator - Plastic Waste Recycling and Processing; Assistant Operator - Printing and Packaging; Assistant Operator - Tyre Balancing; Assistant Operator- Material Handling and Storage; Assistant Operator- Plastic 3D Printing; Assistant Operator- Plastic Extrusion Machine; Associate Designer die and mould for plastic including toys; Bead Extrusion and Assembly Operator; Building Operator: Hoses; Designer Plastic Products including toys; General Worker-Rubber Plantation; Grader (Ribbed smoked sheet Trading); Jr. Designer - Die and Mould for Plastics; Jr. Designer - Plastic Products; Jr. Machine Operator - CNC Milling of Plastic; Junior Rubber Technician/Technical Assistant (Rubber); Lab Chemist (Latex); Lab Chemist-Rubber; Latex Harvest Technician (Tapper); Machine Operator - Injection Moulding Plastic; Machine Operator - Stretch Blow Moulding Plastic; Machine Operator -CNC Turning of Plastic (Lathe); Machine Operator – CNC Milling of Plastic; Operator Plastic Extrusion Machine; Operator- Plastic 3D printing; Plastic Waste Segregator; Processing Assistant -TSR; Processing Technician-RSS Rubber; Rubber Autoclave Operator; Rubber Calendaring Supervisor; Rubber Compression Moulding Operator; Rubber Extruder Operator; Rubber Extrusion Supervisor; Rubber Injection Moulding Operator; Rubber Internal Mixer Operator; Rubber Mill Operator; Rubber Mixing Supervisor; Rubber Moulding /Curing Supervisor; Rubber Nursery Worker-General; Rubber Product Finishing Operator; Rubber Product Finishing Supervisor; Rubber Product-Quality Assurance Supervisor; Rubber Warehouse Supervisor; Technician – TQC for Plastic Materials & Products; Tyre Building Operator- Radial Light truck; Tyre Building Operator- Truck and Bus (Bias Tyre); Tyre Fitter-Servicing and Maintenance,"Rubber processing, plastic moulding, chemical handling, and polymer manufacturing.",2-5,https://rplrfp.nsdcindia.org/Downloads/NSDCDocument/Job_Role_List.xlsx
Telecom & Networking,Broadbnd Technician; Distributor Sales Representative; Fiber to-the Home (FTTH/X) Installer; Field Sales Executive; Grass Root Telecom Provider; Handheld Devices (Handset & Tablet) Technician; In Store Promoter; Line Assembler - Telecom Products; Optical Fiber Splicer; Optical Fiber Technician; Telecom Customer Care Executive - Call Center/Relationship Center; Telecom Customer Care Executive - Repair Center; Telecom Surface Mount Technology (SMT) Technician; Telecom Terminal Equipment Application Developer (Android); Tower Technician; Wireless Technician,"Telecom tower installation, fibre optics, broadband servicing, and network maintenance.",3-4,https://rplrfp.nsdcindia.org/Downloads/NSDCDocument/Job_Role_List.xlsx
Textiles & Tailoring,"Assistant Cotton Grader (Ginning); Assistant Design Maker - Textiles; Assistant Ginning Fitter; Autoconer Tenter; Bale Press Operator; Beam Carrier - Loader; Blowroom Operator; Card Puncher (Automatic Machine); Carding Operator; Circular loom operator (Shuttle type); Cocoon tester cum purchaser: Textile MSME; Combing Operator; Combing Preparatory Operator; Cone Winder-cum-Pirn Winder; Cone Winding Operator-Manual & Assembly Winding; Draw Frame Operator; Dyestuff & Chemical Preparation Operator; Fabric Checker - Textiles; Fabric Mender - Textiles; Finished Package Checker-cum-Packer - Spinning: Yarn Conditioning; Finisher and Packer; Fitter - Chemical Processing (Textiles); Fitter - Post Spinning; Fitter - Ring Spinning; Fitter - Shuttleless Weaving Machine: Air-Jet; Fitter - Shuttleless Weaving Machine: Projectile; Fitter Helper - Weaving; Fitter Spinning Preparatory; Fitter Weaving Preparatory; Ginning Helper; Hand Embroiderer (Addawala); Hand Knitting Machine Operator; Hand Spinning Operator; Handloom Entrepreneur; Hank Dyer; Ikkat Artisan; Jacquard Harness Builder; Jacquard Weaver - Handloom; Jute Beaming Operator; Jute Carding Operator; Jute Selector cum Assorter; Jute Weft Winding Operator; Jute spinning Sardar (Jobber) cum Jr. Supervisor; Kalamkari Artisan; Knitting Machine Operator Circular Knitting; Knitting Machine Operator Flat Bed Knitting; Knitting Machine Operator Warp Knitting; Knotting Machine Operator; Loin Loom Weaver; Mulberry cocoon sorter, drier cum grader; Open-End Spinning Tenter; Pirn Winding Machine Operator; Ring Frame Doffer; Ring Frame Operator; Ring Frame Tenter; Self Employed Tailor; Sewing Machine Operator; Sewing Machine Operator - Knits; Shuttle Loom Operator cum Pirn Winder: Power loom; Shuttleless Loom Operator: Airjet loom; Size Mixer; Sizing Machine Operator; Specialized Sewing Machine Operator; Speed Frame Operator - Tenter and Doffer; TFO Tenter; Tape Plant Operator; Tape Winder; Textile Dyeing Machine Operator: Jigger; Textile Finishing Machine Operator: Stenter; Textile Post Processing Machine Operator: Washing Range; Textile Printing Machine Operator: Printing Screen Making; Textile Processing Preparatory Operator: Singeing & Desizing; Twister cum Doubler - Handloom; Two Shaft Handloom Weaver; Warper - Direct Warping Machine; Warper - Handloom; Washing Machine Operator; Winding Tenter: Autoconer","Textile manufacturing, weaving, spinning, sewing, embroidery, and apparel production.",1-5,https://rplrfp.nsdcindia.org/Downloads/NSDCDocument/Job_Role_List.xlsx
Tourism & Hospitality,Assistant Chef; Counter Sales Executive- Tourism & Hospitality; Customer Service Executive - Elective 1 (Meet and Greet officer); Customer Service Executive - Elective 2 (Tour Escort); Elective 2- Floor/Surface polisher; Elective 3- Cleaning Attendant; Food & Beverage Service Assistant; Food & Beverage Service Associate; Food Delivery Associate; Front Office Trainee; Guest Service Associate-Elective 1- Carpet Cleaner; Guest Sevice Associate Elective 2- Reservation; Housekeeping Trainee; Multi - Purpose Associate; Pantry Associate; Pastry/Bakery Commis; Street Food Vendor - Standalone,"Hotel operations, cooking, housekeeping, tour guiding, and travel services.",3-4,https://rplrfp.nsdcindia.org/Downloads/NSDCDocument/Job_Role_List.xlsx
